Date,Rate,CAPE
01/04/2015,1.94,26.79137168
01/05/2015,2.2,26.80611138
01/06/2015,2.36,26.49589529
01/07/2015,2.32,26.38113634
01/08/2015,2.17,25.69365842
01/09/2015,2.17,24.49675217
01/01/2015,2.07,25.49144105
01/11/2015,2.26,26.22585189
01/12/2015,2.24,25.96542404
01/01/2016,2.09,24.2061672
01/02/2016,1.78,24.00260678
01/03/2016,1.89,25.37229862
01/04/2016,1.81,25.92233754
01/05/2016,1.81,25.69470992
01/06/2016,1.64,25.84037293
01/07/2016,1.5,26.69400326
01/08/2016,1.56,26.94887243
01/09/2016,1.63,26.72787335
01/01/2016,1.76,26.52514309
01/11/2016,2.14,26.85095353
01/12/2016,2.49,27.86509822
01/01/2017,2.43,28.06357374
01/02/2017,2.42,28.65510653
01/03/2017,2.48,29.08692174
01/04/2017,2.3,28.90424596
01/05/2017,2.3,29.31334498
01/06/2017,2.19,29.74850324
01/07/2017,2.32,30.00222074
01/08/2017,2.21,29.98630691
01/09/2017,2.2,30.31508242
01/01/2017,2.36,31.1500176
01/11/2017,2.35,31.62532883
01/12/2017,2.37,32.44155564
01/01/2018,2.417637,32.1494033
01/02/2018,2.466231504,31.51593304
01/03/2018,2.515802757,30.89494465
01/04/2018,2.566370392,30.28619219
01/05/2018,2.617954437,29.68943456
01/06/2018,2.670575321,29.10443541
01/07/2018,2.724253885,28.53096305
01/08/2018,2.779011388,27.96879036
01/09/2018,2.834869517,27.4176947
01/10/2018,2.891850395,26.8774578
01/11/2018,2.949976588,26.3478657
01/12/2018,3.009271117,25.82870865
01/01/2019,3.069757466,25.31978105
01/02/2019,3.131459592,24.82088134
01/03/2019,3.194401929,24.33181192
01/04/2019,3.258609408,23.8523791
01/05/2019,3.324107457,23.382393
01/06/2019,3.390922017,22.92166748
01/07/2019,3.45907955,22.47002008
01/08/2019,3.528607049,22.02727191
01/09/2019,3.59953205,21.59324764
01/10/2019,3.671882644,21.16777535
01/11/2019,3.745687486,20.75068655
01/12/2019,3.820975804,20.34181605
01/01/2020,3.897777418,19.94100191
01/02/2020,3.976122744,19.54808539
01/03/2020,4.056042811,19.16291089
01/04/2020,4.137569272,18.78532584
01/05/2020,4.220734414,18.4151807
01/06/2020,4.305571176,18.05232889
01/07/2020,4.392113156,17.6966267
01/08/2020,4.480394631,17.34793324
01/09/2020,4.570450563,17.00611042
01/10/2020,4.662316619,16.67102286
01/11/2020,4.756029183,16.34253785
01/12/2020,4.85162537,16.02052529
01/01/2021,4.94914304,15.70485765
01/02/2021,5.048620815,15.39540991
01/03/2021,5.150098093,15.09205952
01/04/2021,5.253615065,14.79468632
01/05/2021,5.359212728,14.50317255
01/06/2021,5.466932903,14.21740276
01/07/2021,5.576818255,13.93726376
01/08/2021,5.688912302,13.6626446
01/09/2021,5.803259439,13.39343653
01/10/2021,5.919904954,13.12953291
01/11/2021,6.038895043,12.87082925
01/12/2021,6.160276834,12.61722306
